"","stim","image_id","handle","prop.left.image","prop.right.image","handle_size","non_handle_size","prop_size_difference","image_left","image_right","avg_handle_salience","avg_non_handle_salience","prop_salience_difference","child_hashed_id","frame_id","key"
"1","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"GLKXLK","9-test-trials-second","rightImage"
"2","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"XSXH3A","9-test-trials-second","rightImage"
"3","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"NUVH7Z","12-test-trials-second","rightImage"
"4","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"BB4HDN","9-test-trials-second","rightImage"
"5","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"4W44JQ","17-test-trials-second","rightImage"
"6","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"3cA2US","11-test-trials-second","rightImage"
"7","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"PXSKPY","9-test-trials-second","rightImage"
"8","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"dN46X7","10-test-trials-second","rightImage"
"9","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"MDFX3L","9-test-trials-second","rightImage"
"10","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"FdTCZ5","9-test-trials-second","rightImage"
"11","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"7cNA53","10-test-trials-second","rightImage"
"12","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"MPWBNY","12-test-trials-second","rightImage"
"13","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"CDUVJS","16-test-trials-second","rightImage"
"14","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"SFGRUB","12-test-trials-second","rightImage"
"15","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"EEUKH4","10-test-trials-second","rightImage"
"16","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"NSPKAX","9-test-trials-second","rightImage"
"17","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"NJVXAZ","11-test-trials-second","rightImage"
"18","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"3LA3PY","16-test-trials-second","rightImage"
"19","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"NSPKAX","12-test-trials-second","rightImage"
"20","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"45GZAS","9-test-trials-second","rightImage"
"21","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"CD5ZKE","10-test-trials-second","rightImage"
"22","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"26BZCM","11-test-trials-second","rightImage"
"23","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"QJNQRc","10-test-trials-second","rightImage"
"24","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"ZRAPcS","15-test-trials-second","rightImage"
"25","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"LGRMU3","11-test-trials-second","rightImage"
"26","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"J564QU","12-test-trials-second","rightImage"
"27","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"LTFLcX","15-test-trials-second","rightImage"
"28","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"LY2WML","10-test-trials-second","rightImage"
"29","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"22AGMR","10-test-trials-second","rightImage"
"30","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"MHQP7F","10-test-trials-second","rightImage"
"31","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"L2N2D6","9-test-trials-second","rightImage"
"32","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"LWE6Fd","14-test-trials-second","rightImage"
"33","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"QKHKKU","12-test-trials-second","rightImage"
"34","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"XVYKDY","9-test-trials-second","rightImage"
"35","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"VcMRA5","12-test-trials-second","rightImage"
"36","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"V5NW7d","12-test-trials-second","rightImage"
"37","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"dUMJUK","10-test-trials-second","rightImage"
"38","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"GAS3CK","9-test-trials-second","rightImage"
"39","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"SKPWQL","12-test-trials-second","rightImage"
"40","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"H5XBdN","15-test-trials-second","rightImage"
"41","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"36PHQH","12-test-trials-second","rightImage"
"42","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"dMRE3G","9-test-trials-second","rightImage"
"43","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"AJNASE","11-test-trials-second","rightImage"
"44","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"7dCZcE","9-test-trials-second","rightImage"
"45","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"7DBCXJ","11-test-trials-second","rightImage"
"46","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"DZWA6c","12-test-trials-second","rightImage"
"47","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"UXDZGG","9-test-trials-second","rightImage"
"48","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"LcXLMG","9-test-trials-second","rightImage"
"49","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"T4W4DN","11-test-trials-second","rightImage"
"50","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"RAVddW","16-test-trials-second","rightImage"
"51","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"YLJABE","10-test-trials-second","rightImage"
"52","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"MQXTH6","9-test-trials-second","rightImage"
"53","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"J2W6Kd","11-test-trials-second","rightImage"
"54","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"D2URLR","14-test-trials-second","rightImage"
"55","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"7JEN7E","12-test-trials-second","rightImage"
"56","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"KWESR7","9-test-trials-second","rightImage"
"57","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"JQD5CS","15-test-trials-second","rightImage"
"58","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"dNXQNd","11-test-trials-second","rightImage"
"59","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"JRUCRL","12-test-trials-second","rightImage"
"60","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"d7SYCT","14-test-trials-second","rightImage"
"61","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"dMXAXJ","11-test-trials-second","rightImage"
"62","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"T55HF3","12-test-trials-second","rightImage"
"63","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"44MRKJ","10-test-trials-second","rightImage"
"64","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"WFEDSN","9-test-trials-second","rightImage"
"65","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"QSPRSS","11-test-trials-second","rightImage"
"66","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"6PdGYD","11-test-trials-second","rightImage"
"67","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"R3UB43","9-test-trials-second","rightImage"
"68","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"cG5TQ7","10-test-trials-second","rightImage"
"69","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"F3GKAH","11-test-trials-second","rightImage"
"70","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"DAVUMS","17-test-trials-second","rightImage"
"71","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"VMURTL","16-test-trials-second","rightImage"
"72","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"d3R22Z","10-test-trials-second","rightImage"
"73","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"VPJGX6","11-test-trials-second","rightImage"
"74","handle1","nohandle1_handle1","rightImage",0.063636364,0.087662338,0.087662338,0.063636364,0.158798282354068,"nohandle1","handle1",0.259116407042403,0.383212036574474,-0.193196534833959,"MCBPEC","14-test-trials-second","rightImage"
