response_uuid,child_hashed_id,sex,age_in_days,race,education_primary,education_spouse,income
06be7b40-2dd5-416f-a60c-ba864f3c1d1a,T55HF3,m,209,Asian,prof,prof,120000
074dce63-ac9b-4849-b641-38d13b4446b8,FPBWdN,f,157,White,prof,prof,90000
09ffb73b-59bc-45ce-bdad-7b345e8ab6b5,dUMJUK,m,233,White,grad,bach,>200000
0c4c8e1c-2313-4b29-bba1-c345f6c54a85,ZKRLXF,m,124,White,assoc,col,80000
0eb78a33-f8ac-4bc5-8298-8a8e6480d604,MQXTH6,m,252,White,prof,prof,120000
0ff36d3a-ef72-4343-8fad-43f0d343ac8f,QSPRSS,m,228,Asian,prof,prof,>200000
1033a860-6afd-4a7f-97a7-9995e12bc32f,SFGRUB,m,176,"White, Black or African American",prof,prof,140000
14bf786c-4ab7-44f3-8b9e-6735b3ff4c90,A4T62F,f,338,"White, Asian",prof,prof,180000
16a98406-c65f-4876-9e01-8427f53d1dae,D2URLR,m,286,"White, Hispanic, Latino, or Spanish origin",prof,prof,150000
16be0cb3-3364-46c2-9c66-e8ac88eca1fc,LTFLcX,f,141,White,grad,bach,120000
188af6ee-14c9-4c33-b3c1-62aba61175a0,SdXEKR,f,338,White,prof,bach,na
1cc93439-1308-4e02-bc54-b95df7519d7a,J4Wc4S,m,180,White,prof,prof,60000
1d8118be-db17-47d8-a204-fa0592fde1a9,WMMR5A,f,245,White,prof,prof,>200000
202db84a-c8b1-4afa-acd9-7925c02ab509,NJVXAZ,m,124,White,prof,prof,150000
22871154-68bf-42c0-97d6-b68d4aee98c4,J5HcXH,m,322,White,prof,prof,70000
23c58920-3825-4d34-bf8d-84a5efb1414f,DZWA6c,m,285,,,,
29f7dbe0-0711-4e19-9aca-b24bde0fa44e,L2N2D6,f,202,"White, Black or African American",prof,prof,120000
2b9504f1-2da7-48f5-98e2-0e7a51b6b690,FQQJ7E,m,191,White,prof,prof,50000
2cdfcc69-ac46-4b0b-a53b-8aa8642d8a51,44MRKJ,f,259,White,bach,bach,130000
2ce5d3ca-1b06-4b6c-ac8e-4620052b3cdd,VPJGX6,m,257,"Hispanic, Latino, or Spanish origin",bach,bach,60000
2eb27768-47f1-46ea-a49f-aafae9d4fc13,N3DX54,f,328,White,bach,prof,>200000
2ec33d83-717f-4c78-af80-f469eb8b0b89,MPWBNY,f,293,"White, Asian",prof,prof,
30069738-2fab-4a83-8715-eab122faf4c8,7JEN7E,m,293,White,prof,bach,>200000
30fe0cb2-ba80-44a5-bac2-80f8245d5549,d3R22Z,m,293,White,prof,prof,>200000
3494c7d6-bca4-445e-92bd-b9ff961e5a55,dV4G6H,f,319,White,col,some,15000
3daef16b-887d-461d-8994-0b0e39c8136a,d7SYCT,f,311,White,grad,bach,>200000
3f489527-6e4b-4529-9940-0aa2bfa9f9c4,MHQP7F,m,375,"White, Asian",assoc,col,80000
41d870b8-d20b-45c0-9825-e5f836a03495,7DBCXJ,m,124,Asian,prof,prof,140000
4401f7c6-ea42-458b-a5bd-8aaf5f8f66b6,TCYU6E,f,318,"White, Hispanic, Latino, or Spanish origin, Asian",prof,prof,170000
450569b7-8c4a-463a-a71a-7a327fe9c1d2,dP6ENN,f,243,"Hispanic, Latino, or Spanish origin, Black or African American",prof,prof,150000
454d139d-1528-4ed7-a113-62e2784199b3,WM7ZFU,m,253,"Hispanic, Latino, or Spanish origin",grad,some,90000
4826320d-f255-42e6-b605-1023109720f5,GAS3CK,f,218,White,prof,prof,>200000
49c76299-8c22-4982-b554-449747ded649,LcXLMG,m,330,White,prof,prof,>200000
4f306a8d-8960-4572-bb48-bb4f661501f1,CD5ZKE,m,200,"White, Black or African American",prof,bach,180000
5099766f-4528-42b6-8e67-3cfc1f3734ae,NLVNEU,f,246,"Hispanic, Latino, or Spanish origin, Black or African American",col,col,na
561038a8-a47d-485b-aeee-a6b196e10fa0,TBScD3,f,212,White,prof,prof,120000
