"","filename","objType","size","stim","salience"
"1","handle10_nohandle10","handle",0.041391758,"handle10",0.192348483128207
"2","handle10_nohandle10","nohandle",0.037987013,"nohandle10",0.257193105953949
"3","handle12_nohandle5","handle",0.007917156,"handle12",0.183797459012671
"4","handle12_nohandle5","nohandle",0.023214286,"nohandle5",0.232598835096962
"5","handle18_nohandle4","handle",0.063311688,"handle18",0.288203350893925
"6","handle18_nohandle4","nohandle",0.061201299,"nohandle4",0.183768412128919
"7","handle2_nohandle2","handle",0.056006494,"handle2",0.251209353285799
"8","handle2_nohandle2","nohandle",0.04025974,"nohandle2",0.308981239686937
"9","handle9_nohandle14","handle",0.088270784,"handle9",0.26167381958006
"10","handle9_nohandle14","nohandle",0.070616883,"nohandle14",0.253587186066579
"11","nohandle1_handle1","handle",0.087662338,"handle1",0.259116407042403
"12","nohandle1_handle1","nohandle",0.063636364,"nohandle1",0.383212036574474
"13","nohandle3_handle5","handle",0.046753247,"handle5",0.272798378672964
"14","nohandle3_handle5","nohandle",0.026136364,"nohandle3",0.282806629123333
"15","nohandle8_handle11","handle",0.027597403,"handle11",0.175614261168385
"16","nohandle8_handle11","nohandle",0.054545455,"nohandle8",0.286701712157682
